RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_MSG_TEXT
102,13,Response: digit_incorrect
102,42,Response: digit_incorrect
102,44,Response: digit_incorrect
102,45,Response: digit_incorrect
102,53,SELECTION_INCORRECT_D
102,53,Response: digit_incorrect
102,55,Response: digit_incorrect
102,61,Response: digit_incorrect
102,62,Response: digit_incorrect
102,64,Response: digit_incorrect
102,65,Response: digit_incorrect
104,49,Response: digit_incorrect
105,6,Response: digit_incorrect
105,13,SELECTION_INCORRECT_D
110,5,Response: digit_incorrect
110,8,Response: digit_incorrect
110,9,Response: digit_incorrect
110,10,Response: digit_incorrect
110,11,Response: digit_incorrect
110,13,Response: digit_incorrect
110,18,Response: digit_incorrect
110,20,Response: digit_incorrect
110,22,Response: digit_incorrect
110,23,Response: digit_incorrect
110,24,Response: digit_incorrect
110,25,Response: digit_incorrect
110,27,Response: digit_incorrect
110,28,Response: digit_incorrect
110,30,Response: digit_incorrect
110,32,Response: digit_incorrect
110,56,SELECTION_INCORRECT_D
112,45,SELECTION_INCORRECT_F1
114,49,Response: digit_incorrect
117,4,Response: digit_incorrect
117,14,SELECTION_INCORRECT_F1
117,20,Response: digit_incorrect
120,28,Response: digit_incorrect
120,49,SELECTION_INCORRECT_F1
121,37,Response: digit_incorrect
121,45,SELECTION_INCORRECT_F1
121,61,Response: digit_incorrect
121,62,SELECTION_INCORRECT_D
121,67,Response: digit_incorrect
125,37,Response: digit_incorrect
125,59,Response: digit_incorrect
125,67,Response: digit_incorrect
129,13,Response: digit_incorrect
130,2,SELECTION_INCORRECT_F1
130,30,SELECTION_INCORRECT_D
130,40,Response: digit_incorrect
130,45,Response: digit_incorrect
130,49,Response: digit_incorrect
130,51,Response: digit_incorrect
130,60,Response: digit_incorrect
130,61,Response: digit_incorrect
130,67,Response: digit_incorrect
133,13,Response: digit_incorrect
133,28,Response: digit_incorrect
134,20,Response: digit_incorrect
134,45,Response: digit_incorrect
137,45,Response: digit_incorrect
137,62,SELECTION_INCORRECT_D
137,62,Response: digit_incorrect
138,8,Response: digit_incorrect
138,13,Response: digit_incorrect
138,14,Response: digit_incorrect
138,15,Response: digit_incorrect
138,26,Response: digit_incorrect
138,28,Response: digit_incorrect
138,30,Response: digit_incorrect
138,31,Response: digit_incorrect
138,32,Response: digit_incorrect
138,34,Response: digit_incorrect
138,46,Response: digit_incorrect
139,37,Response: digit_incorrect
139,44,Response: digit_incorrect
139,46,Response: digit_incorrect
139,50,Response: digit_incorrect
139,51,Response: digit_incorrect
139,60,Response: digit_incorrect
139,62,SELECTION_INCORRECT_D
139,62,Response: digit_incorrect
139,67,Response: digit_incorrect
143,8,Response: digit_incorrect
145,8,Response: digit_incorrect
145,37,Response: digit_incorrect
145,45,SELECTION_INCORRECT_F1
148,17,Response: digit_incorrect
150,17,Response: digit_incorrect
150,24,Response: digit_incorrect
150,27,Response: digit_incorrect
151,12,SELECTION_INCORRECT_F1
151,20,SELECTION_INCORRECT_D
151,33,SELECTION_INCORRECT_D
151,45,SELECTION_INCORRECT_F1
151,46,SELECTION_INCORRECT_F2
151,48,SELECTION_INCORRECT_F2
151,49,Response: digit_incorrect
151,62,SELECTION_INCORRECT_D
151,62,Response: digit_incorrect
158,5,Response: digit_incorrect
158,44,SELECTION_INCORRECT_D
159,3,Response: digit_incorrect
159,7,Response: digit_incorrect
159,9,Response: digit_incorrect
159,10,SELECTION_INCORRECT_F1
159,12,Response: digit_incorrect
159,14,Response: digit_incorrect
159,19,Response: digit_incorrect
159,24,Response: digit_incorrect
159,31,Response: digit_incorrect
159,32,Response: digit_incorrect
160,21,Response: digit_incorrect
160,28,Response: digit_incorrect
160,31,Response: digit_incorrect
160,41,Response: digit_incorrect
160,44,Response: digit_incorrect
160,45,SELECTION_INCORRECT_D
160,48,SELECTION_INCORRECT_F2
160,54,Response: digit_incorrect
160,55,Response: digit_incorrect
160,56,Response: digit_incorrect
160,63,Response: digit_incorrect
160,66,Response: digit_incorrect
160,67,Response: digit_incorrect
161,46,Response: digit_incorrect
161,47,Response: digit_incorrect
161,48,Response: digit_incorrect
161,51,Response: digit_incorrect
161,58,Response: digit_incorrect
161,59,Response: digit_incorrect
161,65,Response: digit_incorrect
162,8,Response: digit_incorrect
162,45,Response: digit_incorrect
162,47,Response: digit_incorrect
162,56,Response: digit_incorrect
162,61,Response: digit_incorrect
162,63,Response: digit_incorrect
162,65,Response: digit_incorrect
